on_time_flag,detention_minutes,weight_lbs,typical_distance_miles,base_rate_per_mile,years_experience,revenue,actual_duration_hours,typical_transit_days
True,14,19151,1229,1.69,25.0,1961.75,24.0,2
True,38,42959,1840,1.85,3.0,3290.19,33.9,3
True,211,32233,762,2.62,11.0,2008.44,13.1,1
True,21,36670,1718,2.47,23.0,4010.78,27.7,2
True,44,20352,640,2.19,2.0,1284.96,10.6,1
True,182,16374,1311,2.71,3.0,3035.92,21.4,2
True,162,39516,2389,2.71,23.0,6224.98,41.3,4
False,196,28017,762,2.62,4.0,2294.59,12.9,1
True,81,11745,2147,2.48,11.0,5773.26,41.0,3
True,139,21031,557,1.95,19.0,976.39,10.8,1
False,0,18437,1044,2.08,2.0,2288.24,21.1,1
True,0,13615,1276,2.33,21.0,2948.24,22.5,2
True,72,35683,1984,1.72,18.0,2969.62,41.5,3
False,211,36085,673,1.7,20.0,1182.65,14.2,1
True,0,24520,675,2.13,20.0,1621.31,12.5,1
False,11,38997,2561,1.52,21.0,3709.21,43.0,4
False,207,18015,2259,1.99,6.0,5103.24,38.0,3
False,214,25410,2729,2.5,12.0,6266.36,51.6,4
False,138,30564,2172,1.89,2.0,4476.08,39.9,3
True,73,26519,712,1.94,6.0,1193.23,12.6,1
True,195,11063,476,2.06,21.0,926.86,9.1,1
False,148,34299,262,2.63,3.0,723.75,4.7,1
False,202,26669,1276,2.33,11.0,2557.47,21.0,2
False,58,13728,167,2.42,2.0,422.11,3.1,1
True,0,40180,1749,2.41,2.0,4776.23,31.5,3
True,154,35397,804,1.63,6.0,1367.63,16.8,1
True,21,38608,2623,2.39,3.0,6406.92,43.8,4
True,57,34114,677,1.7,22.0,1098.31,13.4,1
False,9,10131,1175,2.48,19.0,3304.91,22.1,2
False,176,11537,2108,2.45,11.0,5554.06,33.2,3
False,222,13783,557,1.95,3.0,1212.18,8.9,1
True,15,44525,804,1.63,21.0,1410.62,14.5,1
True,64,28700,697,2.08,3.0,1444.9,12.6,1
False,124,28819,2269,2.74,24.0,5287.59,41.9,3
True,0,38641,2172,1.77,9.0,3760.32,39.1,3
False,103,28898,519,2.27,7.0,1106.05,9.4,1
False,231,32111,673,1.7,18.0,1157.22,13.9,1
True,70,25327,1276,2.33,3.0,2947.63,21.9,2
True,0,43626,1175,2.48,6.0,3237.58,20.3,2
False,0,22625,1984,1.72,5.0,3712.06,38.6,3
True,211,21514,1429,2.51,14.0,3886.42,25.5,2
False,237,16002,640,2.19,25.0,1463.9,12.5,1
False,94,13406,670,2.07,9.0,1467.1,11.9,1
False,144,20122,2627,2.69,12.0,7040.61,50.1,4
True,96,29075,2729,2.5,20.0,7516.54,53.5,4
True,145,23688,762,2.62,6.0,1762.17,12.9,1
False,196,17213,1204,2.14,11.0,2333.14,22.2,2
False,0,28669,597,2.33,14.0,1182.91,12.4,1
False,48,25965,2561,1.52,3.0,4423.72,49.2,4
True,111,23840,476,2.06,2.0,862.24,8.9,1
False,16,32468,92,1.61,9.0,167.63,1.4,1
False,58,33193,1718,2.47,12.0,4076.85,33.0,2
True,77,36817,2623,2.47,15.0,6924.28,51.9,4
True,68,37897,677,1.7,25.0,985.03,11.1,1
False,58,42780,1311,2.71,4.0,3913.66,21.3,2
False,93,15979,1229,1.69,21.0,2273.01,23.4,2
True,40,21533,2269,2.74,3.0,6231.98,43.6,3
False,8,42782,675,2.13,3.0,1548.42,11.6,1
True,147,19855,92,1.61,20.0,164.97,1.7,1
True,0,37460,2017,1.84,5.0,3545.72,35.9,3
False,114,12481,1718,2.47,15.0,4836.23,29.2,2
True,0,14222,1130,1.81,20.0,2298.83,19.9,1
False,191,23074,697,2.08,15.0,1417.56,12.1,1
False,0,23011,1276,2.33,21.0,2562.66,22.9,2
False,197,12139,1130,1.81,21.0,2148.93,18.5,1
True,202,12381,1175,2.48,5.0,2658.64,23.9,2
False,0,16897,2729,2.5,6.0,5864.39,46.2,4
True,178,24461,597,2.33,9.0,1275.41,12.3,1
False,107,26167,1229,1.69,13.0,2259.52,24.1,2
True,90,10559,2259,1.99,23.0,4242.83,37.8,3
True,0,19319,712,1.94,6.0,1447.91,12.7,1
False,158,19177,1229,1.69,3.0,1801.54,21.0,2
True,191,40002,1557,2.01,23.0,2868.5,31.1,2
True,108,14273,675,2.13,20.0,1361.45,12.5,1
False,92,41678,712,1.94,18.0,1182.37,11.4,1
True,194,42051,2172,1.89,9.0,3554.9,38.8,3
False,161,25714,92,2.79,9.0,270.3,1.7,1
True,89,27353,2003,2.55,25.0,5253.96,41.7,3
False,115,11601,1749,2.41,11.0,4390.63,29.2,3
False,191,37667,2623,2.47,21.0,6678.67,47.6,4
True,216,11593,2017,1.84,21.0,4127.84,38.6,3
True,81,14283,92,1.61,23.0,144.91,1.9,1
False,161,28009,3141,1.65,5.0,5181.01,54.5,5
True,144,25605,673,1.7,18.0,1134.23,12.1,1
False,197,29047,2729,2.5,18.0,5936.83,44.3,4
True,76,26524,1718,2.47,12.0,4095.0,32.9,2
False,0,27045,92,1.61,20.0,159.9,1.6,1
False,83,31359,670,2.07,11.0,1517.16,11.3,1
False,119,33866,1557,2.01,18.0,3485.04,26.9,2
False,158,19676,3141,1.65,3.0,5365.21,64.0,5
False,6,20352,2729,2.5,10.0,7620.93,46.0,4
False,0,43562,675,2.13,21.0,1263.64,11.7,1
True,0,11869,597,2.33,12.0,1480.82,11.7,1
False,127,24399,804,1.63,10.0,1127.05,13.5,1
False,132,32027,675,2.13,12.0,1642.32,11.1,1
True,29,30903,167,2.42,20.0,377.06,2.7,1
False,142,43072,3141,1.65,12.0,5170.94,53.1,5
True,236,22160,2561,1.52,2.0,4288.08,51.9,4
False,110,41316,675,2.13,6.0,1473.45,13.3,1
False,223,37798,1984,1.72,4.0,3674.15,39.9,3
False,48,12043,1576,2.54,17.0,4373.38,29.9,2
True,191,18154,670,2.07,15.0,1301.75,13.4,1
False,228,11545,2108,2.45,10.0,4668.01,43.1,3
True,93,26732,262,2.63,3.0,603.36,5.0,1
False,118,20934,2269,2.74,15.0,7022.16,39.8,3
True,96,18637,2017,1.84,23.0,3330.02,36.4,3
False,209,35494,519,2.27,15.0,1033.13,9.5,1
True,76,25117,92,2.79,9.0,284.75,1.9,1
False,1,21629,476,2.06,10.0,903.88,7.5,1
True,0,39090,640,2.19,13.0,1494.15,10.3,1
True,186,35815,2108,2.45,4.0,4616.36,41.6,3
True,232,25016,557,1.95,11.0,1018.27,10.8,1
False,0,38403,3141,1.65,19.0,5394.19,54.7,5
True,46,29589,1840,1.85,24.0,3262.13,36.4,3
False,123,34588,1557,2.01,9.0,3126.36,29.7,2
True,82,43867,712,1.94,20.0,1481.95,13.2,1
False,2,36560,2729,2.5,14.0,7142.79,46.7,4
False,5,30761,519,2.27,7.0,1324.96,9.3,1
True,73,17160,476,2.06,21.0,900.54,7.9,1
True,35,40803,804,1.63,25.0,1386.38,14.9,1
True,171,23971,2147,2.48,20.0,4925.19,34.7,3
True,199,40880,2561,1.52,19.0,3913.08,48.3,4
True,0,13225,673,1.7,20.0,1220.24,12.1,1
False,173,25870,1204,2.14,4.0,2746.8,20.2,2
False,146,13235,2003,2.55,25.0,4878.8,38.5,3
False,0,19969,2623,2.39,21.0,6856.14,54.0,4
False,120,12130,476,2.06,18.0,876.25,8.6,1
True,197,41300,1130,1.81,2.0,2224.58,21.1,1
True,54,41484,2627,2.69,5.0,7166.92,46.6,4
False,26,22258,2017,1.84,10.0,4127.85,37.9,3
False,104,10683,2623,2.39,11.0,7156.57,51.1,4
True,232,43540,1216,2.75,23.0,3802.25,21.2,2
False,138,44370,476,2.06,9.0,1034.07,9.3,1
True,226,14060,720,2.62,4.0,2148.42,12.7,1
True,2,37026,1576,2.54,17.0,4494.04,24.8,2
True,235,35452,720,2.62,21.0,1930.02,11.7,1
False,1,36990,673,1.7,15.0,1061.42,10.8,1
False,0,20017,2561,1.52,4.0,3445.05,48.3,4
False,192,18030,1749,2.38,20.0,4038.87,30.2,3
False,231,27207,2332,2.69,23.0,5555.29,46.0,4
False,196,35418,1276,2.33,15.0,2734.93,26.6,2
True,86,33788,673,1.7,19.0,1065.25,12.0,1
True,58,14451,1229,1.69,2.0,2032.15,20.4,2
True,51,44280,1229,1.69,15.0,2108.75,20.7,2
True,226,13902,697,2.08,3.0,1250.09,13.4,1
False,149,22734,640,2.19,23.0,1272.49,11.7,1
True,10,37733,2623,2.39,23.0,7108.04,46.7,4
False,8,32691,1044,2.08,10.0,2029.17,17.7,1
True,121,14736,640,2.19,15.0,1396.93,11.8,1
False,238,20952,1130,1.81,4.0,1839.49,18.9,1
False,118,14259,2332,2.12,2.0,4345.4,41.9,4
True,74,16749,2003,2.55,25.0,4387.3,31.8,3
False,73,35219,673,1.7,21.0,1133.28,10.9,1
True,143,13207,1559,1.55,12.0,2671.89,29.2,2
False,89,17555,1749,2.38,19.0,4487.17,33.2,3
False,29,21952,1718,2.47,13.0,3867.39,33.7,2
True,129,33930,1276,2.33,25.0,3218.88,23.9,2
True,215,10328,675,2.13,23.0,1640.09,11.8,1
True,107,40120,476,2.06,5.0,1004.67,7.8,1
True,156,40033,1044,2.08,6.0,2382.1,19.9,1
True,197,24746,2172,1.77,24.0,3586.56,38.9,3
True,139,15462,1311,2.71,24.0,3545.67,24.7,2
False,0,25791,675,2.13,7.0,1411.47,12.1,1
True,134,17822,1044,2.08,20.0,2218.83,17.0,1
True,22,24429,2172,1.89,18.0,4336.5,42.4,3
False,104,25636,3141,1.65,3.0,5871.99,51.7,5
False,84,10514,640,2.19,7.0,1372.92,12.7,1
True,7,28496,1044,2.08,7.0,1963.12,18.2,1
False,109,28487,1840,1.85,15.0,3709.67,31.7,3
True,77,17755,1044,2.08,18.0,1895.8,17.8,1
False,189,23328,1557,2.01,3.0,2858.53,28.0,2
True,50,39699,1204,2.14,5.0,2367.01,25.5,2
True,59,12035,697,2.08,17.0,1378.33,10.9,1
True,75,31637,167,2.42,15.0,367.34,3.2,1
True,30,20071,2108,2.45,16.0,5150.39,33.1,3
True,81,27445,1044,2.08,11.0,2206.78,18.4,1
False,0,33747,640,2.19,13.0,1463.94,12.4,1
False,60,26709,92,2.79,2.0,239.47,1.6,1
False,20,21748,1130,1.81,21.0,1864.85,23.4,1
False,97,34917,1576,2.54,15.0,3944.81,25.9,2
False,70,37972,878,1.95,15.0,1853.88,14.7,1
False,181,31740,2147,2.48,15.0,5114.0,37.7,3
False,181,16455,2172,1.89,21.0,3834.91,41.3,3
True,98,10331,675,2.13,22.0,1379.81,10.6,1
True,72,17849,1130,1.81,15.0,1758.83,19.5,1
False,14,20919,675,2.13,3.0,1506.92,10.8,1
False,0,25825,762,2.62,11.0,2258.29,13.2,1
True,6,28537,2147,2.48,10.0,4769.69,42.3,3
True,35,26195,2172,1.89,11.0,4529.59,36.8,3
True,191,42067,1175,2.48,20.0,3221.62,23.2,2
False,130,10463,804,1.63,21.0,1312.03,13.6,1
False,172,36150,2269,2.74,19.0,5742.59,39.5,3
True,65,32444,547,1.69,12.0,830.1,9.7,1
True,215,29702,1429,2.51,13.0,3276.87,24.7,2
False,152,12988,2729,2.5,21.0,7343.83,49.9,4
True,65,44408,2623,2.39,3.0,5359.63,46.6,4
False,151,11755,878,1.95,11.0,1795.3,14.4,1
False,3,18389,921,2.45,11.0,2392.1,15.0,1
False,147,33540,640,2.19,2.0,1540.43,12.5,1
False,158,19834,1576,2.54,24.0,3494.39,31.3,2
True,113,19123,804,1.63,9.0,1265.51,14.9,1
False,78,43475,557,1.95,20.0,1056.4,9.3,1
True,198,32969,2259,1.99,20.0,4890.16,35.7,3
True,145,19086,1311,2.71,10.0,3379.31,26.3,2
False,67,19536,1749,2.38,24.0,4733.49,35.0,3
False,179,29478,2003,2.55,11.0,5810.08,33.8,3
True,205,37443,2623,2.39,24.0,5920.22,44.2,4
True,131,44198,519,2.27,20.0,1306.72,9.8,1
False,9,22618,2172,1.77,23.0,3996.03,36.7,3
True,210,13182,1429,2.51,14.0,3894.15,23.7,2
True,81,32610,2147,2.48,20.0,5990.32,41.7,3
True,72,14492,677,1.7,18.0,1003.9,10.4,1
False,43,12440,878,1.95,2.0,1472.89,15.0,1
False,54,15666,1840,1.85,12.0,3717.09,30.5,3
True,109,37323,92,2.79,13.0,221.91,1.9,1
False,129,29682,519,2.27,18.0,1269.25,8.6,1
True,9,42122,762,2.62,12.0,1949.0,13.4,1
False,0,21699,1271,2.02,20.0,2849.52,23.4,2
True,214,31490,712,1.94,7.0,1214.08,14.0,1
False,112,10094,1984,1.72,21.0,3679.96,37.3,3
False,74,12837,878,1.95,20.0,1689.33,14.4,1
True,167,35935,640,2.19,10.0,1245.88,10.7,1
False,7,34675,2147,2.48,14.0,5909.6,35.2,3
False,120,14491,547,1.69,20.0,915.87,11.1,1
False,20,23156,1984,1.72,20.0,3247.17,30.4,3
True,235,33704,1276,2.33,15.0,2955.18,20.2,2
True,57,44532,1271,2.33,11.0,3308.29,25.4,2
False,98,33292,2332,2.69,21.0,6180.0,43.5,4
True,102,20302,1311,2.71,7.0,3103.71,21.1,2
True,0,19442,640,2.19,7.0,1497.09,10.4,1
False,201,30128,3141,1.65,20.0,4777.84,53.3,5
False,63,44885,1840,1.85,13.0,3322.58,37.2,3
False,0,44942,476,2.06,3.0,1122.53,9.7,1
False,82,14361,720,2.62,21.0,1788.45,12.5,1
True,135,19332,2627,2.69,15.0,7502.53,43.7,4
False,80,31093,2147,2.48,11.0,4720.28,41.0,3
True,0,12746,92,1.61,11.0,138.75,1.6,1
True,123,20264,1130,1.81,24.0,2067.26,20.4,1
True,163,35910,2623,2.47,4.0,7274.65,50.5,4
True,148,44646,547,1.69,2.0,988.09,9.3,1
False,158,36569,1557,2.01,17.0,2986.19,30.8,2
True,232,11113,777,2.35,2.0,2096.97,13.1,1
False,90,21692,1984,1.72,18.0,3255.42,34.6,3
False,3,28998,2623,2.39,20.0,6158.03,47.3,4
True,193,18219,762,2.62,11.0,1725.81,15.9,1
False,227,27648,1044,2.08,10.0,1869.33,18.2,1
True,0,35504,2003,2.55,14.0,4623.03,31.6,3
True,86,13225,2147,2.48,7.0,5318.35,32.7,3
False,166,41887,921,2.45,10.0,2182.08,15.9,1
True,115,23496,597,2.33,24.0,1508.84,11.9,1
True,238,11063,720,2.62,23.0,2152.64,12.6,1
False,153,30429,640,2.19,10.0,1608.28,11.1,1
False,13,28709,1429,2.51,21.0,3231.64,27.5,2
True,202,40518,1130,1.81,24.0,2057.11,20.5,1
True,0,21230,262,2.63,20.0,753.04,4.4,1
True,0,15492,1840,1.85,20.0,3590.66,32.8,3
True,165,31244,777,2.35,21.0,1773.28,16.1,1
True,80,15667,677,1.7,4.0,1221.23,12.3,1
True,96,26290,2561,1.52,3.0,4034.18,45.1,4
False,225,23663,878,1.95,4.0,1757.15,18.7,1
True,168,32892,2627,2.69,4.0,6242.43,43.4,4
False,148,17156,2259,1.99,2.0,4386.41,39.5,3
False,19,41502,1749,2.41,7.0,4068.37,29.2,3
True,20,13222,2332,2.12,25.0,4402.62,39.1,4
False,142,36628,1130,1.81,21.0,1956.59,20.8,1
False,154,28264,1749,2.41,3.0,4348.32,33.7,3
False,211,35646,1175,2.48,23.0,3313.86,20.6,2
False,170,41454,1216,2.75,14.0,3159.71,20.4,2
True,204,25987,167,2.42,11.0,410.96,2.6,1
True,234,28380,1175,2.48,2.0,3270.17,22.9,2
False,181,27062,2561,1.52,19.0,3862.22,48.8,4
True,188,29580,1229,1.69,19.0,2105.09,20.0,2
False,234,37092,1130,1.81,2.0,2180.37,18.0,1
True,105,43216,2259,1.99,19.0,4928.87,36.4,3
True,45,35828,1044,2.08,23.0,2342.86,20.0,1
False,37,14089,2172,1.89,13.0,3894.05,40.9,3
True,0,21870,1044,2.08,23.0,1862.64,19.9,1
False,154,30883,1229,1.69,15.0,2241.78,21.4,2
False,142,35824,2623,2.39,23.0,6168.45,47.2,4
True,78,31836,2332,2.12,16.0,4306.84,41.8,4
True,17,42333,1271,2.33,2.0,2620.75,24.9,2
False,99,29698,557,1.95,11.0,1117.09,10.6,1
False,174,38810,2017,1.84,5.0,3558.92,37.6,3
False,52,27232,720,2.62,25.0,2044.98,11.7,1
False,181,12820,1311,2.71,18.0,3811.52,24.6,2
True,54,40559,1840,1.85,2.0,3229.55,33.6,3
True,213,28145,697,2.08,11.0,1351.98,12.4,1
False,137,27999,92,2.79,25.0,287.75,1.7,1
True,164,37187,2003,2.55,14.0,4557.25,41.8,3
True,175,33189,675,2.13,23.0,1394.22,12.3,1
True,152,16894,1044,2.08,20.0,1911.37,20.2,1
False,54,18659,673,1.7,23.0,1177.02,13.1,1
True,83,22231,640,2.19,21.0,1204.63,13.1,1
False,111,16149,878,1.95,18.0,1646.93,13.6,1
False,232,29324,2269,2.74,4.0,5987.32,39.1,3
False,203,29247,921,2.45,12.0,2076.35,16.8,1
True,103,22632,167,2.42,2.0,448.18,2.8,1
False,59,29254,1718,2.47,2.0,4304.01,34.5,2
True,237,36206,167,2.42,22.0,353.55,2.9,1
True,206,39012,2623,2.47,7.0,6547.58,46.2,4
False,118,37122,1204,2.14,14.0,2414.46,19.4,2
False,184,21535,1229,1.69,23.0,1847.73,20.4,2
True,182,10792,262,2.63,5.0,589.22,4.9,1
True,143,22484,2332,2.12,20.0,5309.25,41.6,4
False,105,15682,1271,2.02,20.0,2939.64,22.5,2
False,151,16808,1271,2.02,4.0,2546.49,22.7,2
False,134,22312,762,2.62,23.0,1779.77,13.1,1
False,199,25744,697,2.08,6.0,1456.92,10.9,1
True,159,29939,1559,1.55,7.0,2666.6,29.0,2
False,214,38618,2147,2.48,5.0,5371.85,40.0,3
True,83,26094,2332,2.69,17.0,6941.65,46.1,4
True,4,26090,1576,2.54,17.0,4129.82,28.5,2
False,130,18823,2332,2.69,2.0,5417.9,45.5,4
True,214,10443,720,2.62,14.0,1703.8,12.2,1
False,92,37603,2172,1.89,15.0,3517.26,37.5,3
True,110,24376,677,1.7,2.0,1280.36,11.7,1
True,97,14473,1576,2.54,9.0,3529.83,28.0,2
True,151,16124,804,1.63,25.0,1290.78,14.7,1
True,2,30642,476,2.06,12.0,1084.54,8.5,1
True,44,11661,712,1.94,12.0,1573.0,13.1,1
False,35,18618,2147,2.48,6.0,4851.46,35.9,3
False,173,17916,547,1.69,3.0,888.01,10.9,1
False,133,40775,2623,2.47,18.0,6847.0,45.7,4
True,21,20305,2332,2.69,12.0,7173.93,45.5,4
True,156,33093,2332,2.69,18.0,6032.9,38.7,4
True,65,12318,2108,2.45,23.0,5242.35,44.8,3
True,66,28322,712,1.94,19.0,1483.27,11.6,1
False,54,12950,1557,2.01,10.0,3411.33,31.3,2
True,35,16744,1557,2.01,18.0,3351.93,25.7,2
True,0,30417,2623,2.47,9.0,6713.33,42.1,4
False,224,44944,2561,1.52,7.0,3780.5,42.0,4
False,144,11702,670,2.07,21.0,1414.36,10.3,1
False,121,26517,476,2.06,23.0,1096.68,9.0,1
False,129,20585,2172,1.77,11.0,3940.22,35.3,3
False,4,13865,2172,1.77,13.0,3368.67,37.0,3
False,174,44897,2259,1.99,6.0,4610.26,47.4,3
True,25,17625,1749,2.41,5.0,4457.01,27.9,3
True,21,30984,2627,2.69,13.0,6388.99,46.9,4
False,64,13180,1175,2.48,23.0,2804.71,20.1,2
True,22,22381,2017,1.84,25.0,3952.62,40.1,3
False,22,18709,2259,1.99,15.0,4262.1,34.8,3
True,115,27957,804,1.63,22.0,1506.16,13.2,1
True,28,42355,697,2.08,9.0,1264.64,10.8,1
False,35,42662,2259,1.99,9.0,4525.08,41.3,3
False,224,34339,519,2.27,24.0,1160.25,9.4,1
False,116,30450,673,1.7,15.0,1187.13,10.9,1
True,182,26592,557,1.95,24.0,954.23,9.8,1
False,176,11893,2332,2.12,19.0,5040.1,45.2,4
False,171,11549,557,1.95,11.0,1018.14,9.9,1
False,74,24307,2389,2.71,21.0,5626.77,41.8,4
False,125,23423,1271,2.33,12.0,2643.45,24.7,2
False,232,40176,670,2.07,7.0,1364.68,12.7,1
True,141,43778,1984,1.72,23.0,2901.39,36.2,3
False,144,41630,720,2.62,11.0,1979.0,13.3,1
True,75,26162,262,2.63,6.0,769.58,4.5,1
False,20,14350,476,2.06,2.0,913.83,8.9,1
False,236,30123,2389,2.71,11.0,6918.56,39.1,4
True,44,24151,2623,2.47,24.0,6645.58,43.2,4
False,152,10333,762,2.62,15.0,1942.55,14.7,1
False,56,35192,167,2.42,20.0,441.29,2.9,1
True,208,11800,2172,1.89,25.0,4322.89,36.4,3
False,0,33925,2003,2.55,15.0,5231.07,41.5,3
True,145,30151,2172,1.77,23.0,3611.94,40.7,3
False,79,15039,2332,2.12,25.0,5300.91,45.2,4
False,110,41430,1557,2.01,4.0,3045.64,31.8,2
False,0,40645,1276,2.33,9.0,3327.01,24.2,2
True,114,32794,1429,2.51,4.0,4119.91,23.4,2
True,23,31097,677,1.7,23.0,1073.82,12.3,1
False,239,13724,878,1.95,11.0,1839.14,14.1,1
False,85,44183,2259,1.99,25.0,4693.87,37.0,3
True,204,12228,557,1.95,2.0,940.31,11.0,1
False,0,24760,878,1.95,3.0,1822.83,15.7,1
True,198,27547,597,2.33,25.0,1471.73,11.4,1
True,118,11314,712,1.94,2.0,1450.2,11.4,1
True,42,13455,2147,2.48,12.0,5211.63,41.9,3
True,176,22058,2003,2.55,7.0,4691.51,40.9,3
False,29,14707,804,1.63,20.0,1306.43,14.1,1
True,0,12913,2332,2.69,3.0,6856.94,43.4,4
False,166,16422,2017,1.84,20.0,3303.05,33.2,3
True,95,29259,1749,2.41,4.0,4812.57,31.2,3
False,32,12279,762,2.62,5.0,2246.7,14.1,1
True,200,44493,167,2.42,2.0,360.17,3.1,1
True,15,28322,92,2.79,18.0,292.11,1.7,1
True,0,36910,1044,2.08,23.0,2208.54,19.8,1
False,119,16776,804,1.63,21.0,1418.75,16.6,1
True,70,28104,720,2.62,15.0,2037.05,14.2,1
False,8,41542,2108,2.45,6.0,4882.56,39.7,3
False,239,36890,1576,2.54,5.0,3810.52,26.8,2
True,238,28436,557,1.95,14.0,1046.78,10.1,1
False,0,35327,1276,2.33,16.0,2630.01,20.0,2
True,100,34700,2623,2.47,23.0,6580.16,51.5,4
False,134,13233,2627,2.69,22.0,7752.87,48.2,4
True,227,44046,762,2.62,17.0,1969.5,13.4,1
True,0,12797,640,2.19,4.0,1341.59,12.2,1
False,160,15856,2259,1.99,14.0,4242.23,41.5,3
False,237,20377,1749,2.41,24.0,4186.27,34.4,3
True,217,24644,640,2.19,24.0,1522.9,11.6,1
False,0,43243,1718,2.47,18.0,3690.31,29.5,2
True,77,15493,1276,2.33,12.0,2865.51,25.2,2
True,193,43698,2269,2.74,2.0,7064.62,44.2,3
True,192,32973,597,2.33,11.0,1596.05,12.1,1
True,98,19154,2147,2.48,12.0,5405.1,39.1,3
True,26,39860,2623,2.39,14.0,5595.25,44.2,4
False,126,16165,547,1.69,11.0,1022.83,11.3,1
False,156,43208,1576,2.54,3.0,3590.65,25.4,2
False,8,33162,92,1.61,12.0,148.62,1.6,1
True,44,24468,2332,2.12,3.0,4268.24,44.5,4
False,130,31431,3141,1.65,10.0,5924.5,58.4,5
False,0,20011,1311,2.71,11.0,3258.02,27.1,2
False,48,30442,2623,2.47,20.0,6874.2,42.1,4
False,67,19793,547,1.69,24.0,945.22,10.0,1
False,20,35200,1840,1.85,23.0,3575.73,31.3,3
False,101,35194,92,2.79,13.0,258.66,1.8,1
False,201,10390,1840,1.85,23.0,3210.65,34.7,3
True,128,32791,92,2.79,20.0,268.41,1.6,1
False,30,13519,2389,2.71,25.0,6532.63,42.7,4
False,0,24257,2017,1.84,21.0,3585.4,40.7,3
True,90,16188,1984,1.72,15.0,2957.28,40.0,3
False,117,14405,1130,1.81,24.0,2170.53,19.4,1
True,229,35710,547,1.69,5.0,1050.47,10.2,1
True,227,36890,670,2.07,23.0,1548.3,12.2,1
False,34,13854,2172,1.77,5.0,3821.28,34.4,3
True,41,30128,712,1.94,18.0,1264.3,14.2,1
False,214,22642,2003,2.55,5.0,4804.99,39.4,3
True,25,25374,670,2.07,15.0,1580.68,11.0,1
False,128,17472,2729,2.5,3.0,7395.02,51.4,4
False,188,35470,777,2.35,3.0,1717.58,14.7,1
True,163,28697,476,2.06,14.0,1008.32,8.3,1
False,180,13152,1429,2.51,11.0,3063.04,23.3,2
True,4,19099,777,2.35,21.0,1710.14,14.6,1
False,178,14567,1044,2.08,18.0,2267.9,19.9,1
